Pl.;Spieler;G;MIN;PTS;2PM;2PA;2P %;3PM;3PA;3P %;FGM;FGA;FG %;FTM;FTA;FT %;DREB;OREB;TREB;AST;STL;TOV;BLK;PF;FD;EF;+/-
;Team;;;;;;;;;;;;;;;;;;;;;;;;;;
34;KOTSAR M. (C);19;499:06:00;245;95;160;59.4%;0;1;0.0%;95;161;59.0%;55;78;70.5%;64;43;107;32;21;28;7;44;70;295;93
;Hamburg Towers;;;;;;;;;;;;;;;;;;;;;;;;;;
56;THOMAS B. (SF);22;619:03:00;245;59;98;60.2%;29;89;32.6%;88;187;47.1%;40;49;81.6%;53;21;74;29;19;33;1;29;60;227;-144
;JobStairs GIESSEN 46ers;;;;;;;;;;;;;;;;;;;;;;;;;;
24;BROWN JR. B. (PG);18;351:49:00;244;55;102;53.9%;30;83;36.1%;85;185;46.0%;44;59;74.6%;36;7;43;26;15;23;1;21;51;191;97
;MHP RIESEN Ludwigsburg;;;;;;;;;;;;;;;;;;;;;;;;;;
60;PARDON D. (C);22;495:54:00;244;94;149;63.1%;1;1;100.0%;95;150;63.3%;53;89;59.6%;85;43;128;27;20;43;26;46;78;311;-69
;medi bayreuth;;;;;;;;;;;;;;;;;;;;;;;;;;
26;REYNOLDS J. (C);18;305:53:00;241;95;147;64.6%;0;1;0.0%;95;148;64.2%;51;62;82.3%;51;19;70;29;26;17;11;45;49;296;151
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
66;MAHALBASIC R. (C);22;437:06:00;238;87;140;62.1%;2;11;18.2%;89;151;58.9%;58;64;90.6%;90;32;123;83;16;61;8;62;67;339;91
;EWE Baskets Oldenburg;;;;;;;;;;;;;;;;;;;;;;;;;;
29;THORNTON M. (SG);18;495:24:00;237;40;86;46.5%;41;91;45.1%;81;177;45.8%;34;46;73.9%;17;4;21;77;10;47;2;35;54;192;-62
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
68;LASISI E. (SG);22;553:33:00;237;26;45;57.8%;56;107;52.3%;82;152;54.0%;17;22;77.3%;54;4;58;34;16;19;2;26;18;253;66
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
30;MICOVIC S. (PF);18;447:24:00;235;49;80;61.3%;35;79;44.3%;84;159;52.8%;32;39;82.1%;41;17;58;21;6;30;5;27;32;213;14
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
39;SCHILLING G. (PF);19;458:30:00;232;89;154;57.8%;0;3;0.0%;89;157;56.7%;54;99;54.6%;85;60;145;21;9;35;11;69;105;270;-32
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
74;BOWMAN B. (PF);22;522:53:00;231;73;114;64.0%;17;70;24.3%;90;184;48.9%;34;36;94.4%;66;33;99;35;10;28;11;44;41;262;-124
;JobStairs GIESSEN 46ers;;;;;;;;;;;;;;;;;;;;;;;;;;
50;JOHNSON J. (PF);20;426:31:00;229;99;164;60.4%;0;3;0.0%;99;167;59.3%;31;45;68.9%;62;41;103;19;13;19;16;32;45;279;102
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
63;VITALI M. (SG);21;519:11:00;229;23;48;47.9%;43;109;39.5%;66;157;42.0%;54;65;83.1%;46;6;52;59;17;28;2;28;72;229;-3
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
64;SENGFELDER C. (PF);21;539:55:00;228;63;110;57.3%;22;70;31.4%;85;180;47.2%;36;43;83.7%;65;43;108;15;7;17;0;40;42;239;27
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
27;NELSON L. (PG);17;403:08:00;227;33;76;43.4%;39;94;41.5%;72;170;42.4%;44;58;75.9%;23;4;27;74;11;42;0;42;51;185;-39
;BG Göttingen;;;;;;;;;;;;;;;;;;;;;;;;;;
70;MOORE R. (PF);21;589:30:00;224;56;111;50.5%;25;70;35.7%;81;181;44.8%;37;45;82.2%;54;25;79;29;5;20;3;44;38;212;-47
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
46;SWING J. (SG);19;372:33:00;223;33;69;47.8%;44;101;43.6%;77;170;45.3%;25;29;86.2%;54;7;61;44;8;34;0;36;34;205;34
;Hamburg Towers;;;;;;;;;;;;;;;;;;;;;;;;;;
40;RADOSAVLJEVIC B. (C);18;370:15:00;219;60;94;63.8%;15;36;41.7%;75;130;57.7%;54;61;88.5%;62;15;77;18;8;39;2;53;50;223;9
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
16;MEISNER L. (SF);15;446:37:00;216;30;61;49.2%;44;101;43.6%;74;162;45.7%;24;35;68.6%;54;14;68;22;8;22;8;37;32;201;-16
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
55;ALLEN T. (PF);19;513:50:00;212;44;76;57.9%;33;96;34.4%;77;172;44.8%;25;29;86.2%;54;28;82;29;14;16;6;36;30;228;43
;Hamburg Towers;;;;;;;;;;;;;;;;;;;;;;;;;;
59;YOUNG J. (PG);19;556:04:00;211;31;76;40.8%;35;101;34.7%;66;177;37.3%;44;53;83.0%;40;13;53;74;9;32;0;59;54;195;-95
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
61;HARRIS T. (SG);19;536:03:00;210;58;107;54.2%;19;35;54.3%;77;142;54.2%;37;54;68.5%;41;22;63;75;15;65;1;38;60;217;-141
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
89;SEIFERTH A. (C);22;387:07:00;206;85;136;62.5%;0;2;0.0%;85;138;61.6%;36;40;90.0%;65;33;98;39;12;34;8;67;56;272;6
;medi bayreuth;;;;;;;;;;;;;;;;;;;;;;;;;;
41;WEILER-BABB N. (SG);17;484:42:00;204;32;55;58.2%;37;85;43.5%;69;140;49.3%;29;41;70.7%;50;20;70;60;14;22;11;30;41;254;173
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
35;TAYLOR K. (SG);16;444:41:00;203;54;102;52.9%;18;68;26.5%;72;170;42.4%;41;50;82.0%;64;23;87;56;25;31;7;41;47;240;58
;Hamburg Towers;;;;;;;;;;;;;;;;;;;;;;;;;;
