Pl.;Spieler;G;MIN;PTS;2PM;2PA;2P %;3PM;3PA;3P %;FGM;FGA;FG %;FTM;FTA;FT %;DREB;OREB;TREB;AST;STL;TOV;BLK;PF;FD;EF;+/-
;Team;;;;;;;;;;;;;;;;;;;;;;;;;;
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
151;PENO S. (PG);21;444:45:00;130;30;85;35.3%;12;51;23.5%;42;136;30.9%;34;47;72.3%;37;8;45;98;23;67;3;48;60;125;-132
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
93;OLINDE L. (SF);14;323:02:00;129;31;50;62.0%;13;37;35.1%;44;87;50.6%;28;35;80.0%;45;28;73;10;13;15;9;24;40;169;66
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
152;WOHLFARTH-BOTTERMANN J. (C);21;330:51:00;128;53;89;59.6%;0;0;0.0%;53;89;59.6%;22;47;46.8%;48;41;89;9;10;20;10;62;65;165;100
;MHP RIESEN Ludwigsburg;;;;;;;;;;;;;;;;;;;;;;;;;;
155;SCHWETHELM P. (SF);22;315:45:00;128;6;11;54.5%;35;79;44.3%;41;90;45.6%;11;11;100.0%;23;9;32;19;9;5;1;41;14;135;47
;EWE Baskets Oldenburg;;;;;;;;;;;;;;;;;;;;;;;;;;
145;RADOSEVIC L. (C);19;361:27:00;124;47;84;56.0%;2;9;22.2%;49;93;52.7%;24;30;80.0%;40;19;59;16;6;16;7;32;34;146;33
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
138;OGBE K. (SG);18;328:00:00;123;29;51;56.9%;10;38;26.3%;39;89;43.8%;35;47;74.5%;37;12;49;16;12;18;3;38;46;123;-15
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
158;HASBARGEN T. (SG);22;459:20:00;121;27;60;45.0%;18;53;34.0%;45;113;39.8%;13;17;76.5%;37;23;60;22;19;23;3;39;16;130;-55
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
122;LAMMERS B. (C);16;306:47:00;120;50;102;49.0%;0;2;0.0%;50;104;48.1%;20;25;80.0%;47;23;70;16;17;9;27;36;28;182;153
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
140;KRATZER L. (C);18;334:15:00;120;56;105;53.3%;0;0;0.0%;56;105;53.3%;8;26;30.8%;83;31;114;20;12;19;11;56;44;191;1
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
149;KAMP H. (PF);19;344:55:00;120;36;75;48.0%;4;21;19.1%;40;96;41.7%;36;43;83.7%;54;25;79;21;9;22;3;43;38;147;-52
;BG Göttingen;;;;;;;;;;;;;;;;;;;;;;;;;;
44;BRYANT J. (C);10;234:32:00;119;35;63;55.6%;12;24;50.0%;47;87;54.0%;13;17;76.5%;48;20;68;29;3;19;14;22;25;170;-57
;JobStairs GIESSEN 46ers;;;;;;;;;;;;;;;;;;;;;;;;;;
52;SIVA P. (PG);10;191:41:00;114;12;31;38.7%;22;55;40.0%;34;86;39.5%;24;27;88.9%;17;1;18;51;9;23;0;13;28;114;42
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
156;WEIDEMANN N. (PG);20;294:57:00;114;23;43;53.5%;17;54;31.5%;40;97;41.2%;17;21;81.0%;25;5;30;37;8;19;1;50;32;110;-56
;BG Göttingen;;;;;;;;;;;;;;;;;;;;;;;;;;
109;FLACCADORI D. (SG);14;301:12:00;113;32;62;51.6%;12;29;41.4%;44;91;48.4%;13;18;72.2%;24;6;30;53;13;22;3;27;25;138;75
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
167;WILKINS I. (PF);22;329:39:00;112;39;60;65.0%;4;7;57.1%;43;67;64.2%;22;31;71.0%;45;33;78;30;9;16;8;46;32;188;74
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
148;TAYLOR B. (SG);17;281:49:00;110;7;11;63.6%;29;60;48.3%;36;71;50.7%;9;11;81.8%;19;1;20;6;9;4;3;21;6;107;28
;Hamburg Towers;;;;;;;;;;;;;;;;;;;;;;;;;;
166;HECKMANN P. (SF);21;391:52:00;107;27;46;58.7%;7;25;28.0%;34;71;47.9%;32;38;84.2%;40;8;48;31;8;15;4;38;37;140;66
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
73;GIFFEY N. (SF);10;185:34:00;105;25;40;62.5%;16;28;57.1%;41;68;60.3%;7;10;70.0%;26;5;31;15;5;11;2;22;14;117;54
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
90;RICHTER J. (PF);11;253:45:00;103;33;59;55.9%;5;20;25.0%;38;79;48.1%;22;25;88.0%;30;29;59;10;5;13;1;42;22;121;-30
;JobStairs GIESSEN 46ers;;;;;;;;;;;;;;;;;;;;;;;;;;
162;PETERKA M. (PF);19;284:04:00;101;21;40;52.5%;14;40;35.0%;35;80;43.8%;17;22;77.3%;21;22;43;16;7;7;2;38;12;112;-96
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
18;GARRETT D. (PG);7;221:12:00;100;23;40;57.5%;14;34;41.2%;37;74;50.0%;12;15;80.0%;13;6;19;35;9;19;3;20;17;107;-55
;JobStairs GIESSEN 46ers;;;;;;;;;;;;;;;;;;;;;;;;;;
106;BOOKER D. (PG);12;282:49:00;99;15;33;45.5%;18;40;45.0%;33;73;45.2%;15;16;93.8%;27;4;31;61;10;34;3;31;33;129;-66
;BG Göttingen;;;;;;;;;;;;;;;;;;;;;;;;;;
37;LOMAZS R. (SG);8;192:38:00;98;17;32;53.1%;11;38;29.0%;28;70;40.0%;31;39;79.5%;9;3;12;28;8;17;1;19;35;80;-23
;BG Göttingen;;;;;;;;;;;;;;;;;;;;;;;;;;
160;HOLLATZ J. (PG);18;319:28:00;98;26;50;52.0%;11;38;29.0%;37;88;42.1%;13;23;56.5%;22;15;37;40;20;20;2;38;19;116;39
;Hamburg Towers;;;;;;;;;;;;;;;;;;;;;;;;;;
161;VAN SLOOTEN L. (SF);18;273:44:00;97;9;15;60.0%;24;60;40.0%;33;75;44.0%;7;10;70.0%;21;5;26;17;9;10;3;42;13;97;-23
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
42;SEARS J. (C);8;190:23:00;96;34;60;56.7%;1;3;33.3%;35;63;55.6%;25;34;73.5%;19;18;37;15;11;16;4;15;44;110;10
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
110;GRANGER J. (PG);12;273:47:00;96;20;42;47.6%;16;49;32.7%;36;91;39.6%;8;12;66.7%;25;5;30;75;14;23;0;21;24;133;84
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
171;OBIESIE J. (PG);19;259:08:00;94;20;53;37.7%;11;30;36.7%;31;83;37.4%;21;26;80.8%;29;4;33;28;8;25;2;27;21;83;-52
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
176;MATTISSECK J. (PG);20;366:58:00;89;6;19;31.6%;24;84;28.6%;30;103;29.1%;5;8;62.5%;19;8;27;29;9;18;2;35;25;62;37
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
14;VELICKA A. (PG);6;163:33:00;87;13;24;54.2%;13;33;39.4%;26;57;45.6%;22;30;73.3%;12;6;18;38;4;19;1;15;33;90;-8
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
69;LUCIC V. (SF);8;181:12:00;86;16;25;64.0%;11;29;37.9%;27;54;50.0%;21;22;95.5%;17;3;20;7;8;10;0;16;28;83;53
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
163;WEITZEL J. (C);16;190:11:00;85;33;56;58.9%;1;7;14.3%;34;63;54.0%;16;20;80.0%;19;10;29;7;5;8;2;19;16;87;-85
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
179;SCHNEIDER T. (PF);20;273:13:00;85;13;31;41.9%;16;34;47.1%;29;65;44.6%;11;12;91.7%;30;15;45;12;4;12;3;21;15;100;-17
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
180;HERZOG L. (PG);20;253:27:00;84;11;20;55.0%;18;52;34.6%;29;72;40.3%;8;15;53.3%;20;4;24;16;7;7;0;25;17;74;49
;MHP RIESEN Ludwigsburg;;;;;;;;;;;;;;;;;;;;;;;;;;
165;WANK L. (SG);16;283:12:00;83;19;31;61.3%;10;29;34.5%;29;60;48.3%;15;19;79.0%;30;18;48;17;12;25;3;38;28;103;-66
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
178;CUTHBERTSON Z. (SF);19;277:46:00;82;10;21;47.6%;18;51;35.3%;28;72;38.9%;8;17;47.1%;33;13;46;13;13;13;8;36;15;96;41
;Hamburg Towers;;;;;;;;;;;;;;;;;;;;;;;;;;
184;KRAUSHAAR B. (PG);21;279:51:00;82;19;37;51.4%;8;30;26.7%;27;67;40.3%;20;30;66.7%;18;0;18;57;5;31;0;43;30;81;-109
;JobStairs GIESSEN 46ers;;;;;;;;;;;;;;;;;;;;;;;;;;
187;TADDA K. (SG);22;368:11:00;81;14;21;66.7%;10;30;33.3%;24;51;47.1%;23;28;82.1%;34;7;41;35;10;9;0;44;34;126;80
;EWE Baskets Oldenburg;;;;;;;;;;;;;;;;;;;;;;;;;;
177;ZYLKA F. (SG);18;144:52:00;80;17;25;68.0%;12;39;30.8%;29;64;45.3%;10;12;83.3%;21;3;24;9;10;15;1;25;19;72;-38
;JobStairs GIESSEN 46ers;;;;;;;;;;;;;;;;;;;;;;;;;;
82;CHAPMAN B. (PF);8;179:24:00;78;21;41;51.2%;6;20;30.0%;27;61;44.3%;18;20;90.0%;15;8;23;14;6;9;7;19;19;83;-3
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
173;RAHON J. (PG);17;388:21:00;78;27;60;45.0%;5;20;25.0%;32;80;40.0%;9;14;64.3%;28;2;30;64;22;20;0;33;32;121;-59
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
175;MöNNINGHOFF M. (SG);17;358:04:00;76;4;9;44.4%;19;49;38.8%;23;58;39.7%;11;15;73.3%;54;11;65;16;13;5;1;38;11;127;-93
;BG Göttingen;;;;;;;;;;;;;;;;;;;;;;;;;;
190;HOFFMANN F. (SF);20;372:58:00;73;15;37;40.5%;10;22;45.5%;25;59;42.4%;13;22;59.1%;57;37;94;26;10;28;1;35;25;133;-53
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
159;KONGA K. (PG);13;224:05:00;71;6;10;60.0%;15;41;36.6%;21;51;41.2%;14;15;93.3%;20;6;26;6;4;9;0;28;28;67;-42
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
168;ZIEGENHAGEN M. (SG);14;143:54:00;71;3;10;30.0%;18;45;40.0%;21;55;38.2%;11;12;91.7%;8;1;9;7;1;10;0;30;13;43;-20
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
116;KONE B. (PG);9;139:57:00;70;12;30;40.0%;7;14;50.0%;19;44;43.2%;25;31;80.7%;10;3;13;11;7;20;1;10;26;51;-55
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
119;PETRUCELLI J. (SG);9;180:31:00;69;15;24;62.5%;9;30;30.0%;24;54;44.4%;12;12;100.0%;24;3;27;15;13;12;3;22;12;85;57
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
134;SISKO Z. (PG);10;194:58:00;69;12;21;57.1%;12;27;44.4%;24;48;50.0%;9;10;90.0%;12;8;20;44;10;17;0;36;16;101;57
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
135;HUNT J. (PF);10;239:36:00;69;14;31;45.2%;9;23;39.1%;23;54;42.6%;14;20;70.0%;45;13;58;8;4;16;5;31;17;91;-64
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
121;DJEDOVIC N. (SG);9;166:40:00;68;14;25;56.0%;6;22;27.3%;20;47;42.6%;22;25;88.0%;22;3;25;18;2;8;0;17;21;75;17
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
191;DILEO M. (SG);19;320:46:00;67;5;16;31.3%;17;48;35.4%;22;64;34.4%;6;8;75.0%;11;11;22;28;19;6;0;46;21;86;89
;Hamburg Towers;;;;;;;;;;;;;;;;;;;;;;;;;;
147;BRODEUR A. (C);10;219:53:00;65;30;47;63.8%;0;0;0.0%;30;47;63.8%;5;7;71.4%;25;14;39;18;10;8;7;17;9;112;-24
;SYNTAINICS MBC;;;;;;;;;;;;;;;;;;;;;;;;;;
194;HARTWICH P. (C);20;247:07:00;64;28;42;66.7%;0;0;0.0%;28;42;66.7%;8;15;53.3%;29;32;61;7;8;19;28;49;26;128;2
;SYNTAINICS MBC;;;;;;;;;;;;;;;;;;;;;;;;;;
195;VARGAS A. (SG);21;351:23:00;64;12;18;66.7%;8;35;22.9%;20;53;37.7%;16;18;88.9%;35;12;47;21;9;22;0;32;21;84;-145
;BG Göttingen;;;;;;;;;;;;;;;;;;;;;;;;;;
113;HILLIARD N. (PG);8;128:32:00;63;20;45;44.4%;6;15;40.0%;26;60;43.3%;5;7;71.4%;8;3;11;35;6;18;3;10;23;64;-37
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
150;JONES L. (PG);10;190:52:00;63;14;34;41.2%;7;21;33.3%;21;55;38.2%;14;17;82.4%;9;1;10;26;3;19;0;25;29;46;8
;medi bayreuth;;;;;;;;;;;;;;;;;;;;;;;;;;
199;HUNDT J. (PG);22;239:28:00;62;18;37;48.6%;3;22;13.6%;21;59;35.6%;17;23;73.9%;7;2;9;34;5;12;0;44;32;54;-81
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
78;HERKENHOFF P. (PF);6;132:02:00;61;10;17;58.8%;12;27;44.4%;22;44;50.0%;5;9;55.6%;13;10;23;6;5;8;3;7;13;64;-1
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
181;LISCHKA B. (PF);15;243:44:00;61;15;35;42.9%;5;14;35.7%;20;49;40.8%;16;20;80.0%;23;7;30;11;4;18;1;35;21;56;-110
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
186;DELOW M. (SG);16;181:22:00;60;14;23;60.9%;7;22;31.8%;21;45;46.7%;11;16;68.8%;19;10;29;13;12;7;1;25;11;79;80
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
174;ROHWER B. (C);13;104:08:00;59;20;31;64.5%;1;5;20.0%;21;36;58.3%;16;19;84.2%;17;7;24;9;1;7;1;21;16;69;-4
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
192;PHILIPPS C. (SF);17;220:44:00;59;8;14;57.1%;8;17;47.1%;16;31;51.6%;19;21;90.5%;24;10;34;7;9;12;3;37;23;83;12
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
2;SOSA E. (PG);3;77:55:00;58;9;17;52.9%;10;20;50.0%;19;37;51.4%;10;11;90.9%;7;0;7;11;1;8;1;10;12;51;-15
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
185;HAßFURTHER N. (PG);14;187:04:00;54;10;27;37.0%;9;24;37.5%;19;51;37.3%;7;9;77.8%;0;4;4;22;7;11;0;12;9;42;-92
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
101;PHILMORE I. (PF);6;109:02:00;52;8;12;66.7%;10;17;58.8%;18;29;62.1%;6;7;85.7%;8;3;11;3;1;7;3;11;5;51;7
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
193;CAISIN R. (SG);15;107:16:00;50;2;5;40.0%;14;28;50.0%;16;33;48.5%;4;5;80.0%;5;1;6;4;2;1;0;17;2;43;-3
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
202;OGUNSIPE M. (PF);19;189:48:00;49;21;29;72.4%;0;0;0.0%;21;29;72.4%;7;14;50.0%;22;18;40;7;4;12;2;37;16;75;-51
;Hamburg Towers;;;;;;;;;;;;;;;;;;;;;;;;;;
144;GIST J. (PF);7;139:08:00;46;17;29;58.6%;1;1;100.0%;18;30;60.0%;9;14;64.3%;14;9;23;10;4;7;5;18;13;64;8
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
172;VRCIC B. (SG);10;119:44:00;46;13;21;61.9%;6;15;40.0%;19;36;52.8%;2;5;40.0%;10;2;12;1;3;2;0;15;6;40;-36
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
123;TURUDIC B. (PF);6;78:38:00;45;13;18;72.2%;1;2;50.0%;14;20;70.0%;16;20;80.0%;9;8;17;4;6;10;0;14;14;52;-13
;SYNTAINICS MBC;;;;;;;;;;;;;;;;;;;;;;;;;;
124;JONES P. (PF);6;122:47:00;45;14;25;56.0%;3;19;15.8%;17;44;38.6%;8;10;80.0%;28;3;31;7;5;8;2;16;6;53;26
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
182;AMAIZE R. (SG);11;170:54:00;44;6;10;60.0%;7;20;35.0%;13;30;43.3%;11;15;73.3%;18;5;23;8;15;10;3;27;14;62;94
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
201;OMUVWIE M. (SG);16;164:06:00;44;15;26;57.7%;4;12;33.3%;19;38;50.0%;2;5;40.0%;22;10;32;4;5;6;7;21;7;64;-41
;BG Göttingen;;;;;;;;;;;;;;;;;;;;;;;;;;
75;HOLLOWAY M. (PF);4;77:06:00;42;18;32;56.3%;0;0;0.0%;18;32;56.3%;6;14;42.9%;12;3;15;6;4;15;1;14;10;31;4
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
197;JOHNSON D. (SF);14;169:45:00;41;5;7;71.4%;9;20;45.0%;14;27;51.9%;4;5;80.0%;18;2;20;7;4;11;0;25;7;47;-69
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
28;LOWERY R. (PG);3;79:36:00;40;9;12;75.0%;3;9;33.3%;12;21;57.1%;13;17;76.5%;5;3;8;17;3;6;0;9;12;49;2
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
157;SMITH Z. (PF);7;118:52:00;39;17;24;70.8%;0;0;0.0%;17;24;70.8%;5;14;35.7%;9;7;16;1;3;10;6;13;12;39;-46
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
217;KRAMER D. (C);20;143:16:00;38;13;32;40.6%;1;10;10.0%;14;42;33.3%;9;11;81.8%;13;13;26;9;3;13;2;34;20;35;-60
;BG Göttingen;;;;;;;;;;;;;;;;;;;;;;;;;;
207;SCHOORMANN L. (PG);17;112:45:00;37;6;12;50.0%;5;14;35.7%;11;26;42.3%;10;12;83.3%;3;6;9;3;3;14;0;12;11;21;-35
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
222;JALALPOOR P. (PG);22;229:59:00;37;9;16;56.3%;5;33;15.2%;14;49;28.6%;4;5;80.0%;18;6;24;19;5;12;0;30;15;37;-31
;medi bayreuth;;;;;;;;;;;;;;;;;;;;;;;;;;
220;GRANT S. (SF);21;236:10:00;36;7;21;33.3%;5;20;25.0%;12;41;29.3%;7;11;63.6%;20;10;30;7;4;10;4;35;10;38;17
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
47;MUSHIDI K. (SG);3;56:58:00;35;8;16;50.0%;3;11;27.3%;11;27;40.7%;10;12;83.3%;2;4;6;4;1;3;0;9;7;25;-9
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
49;MCLEAN J. (C);3;61:14:00;35;5;11;45.5%;1;1;100.0%;6;12;50.0%;22;27;81.5%;14;11;25;3;2;6;2;8;20;50;25
;MHP RIESEN Ludwigsburg;;;;;;;;;;;;;;;;;;;;;;;;;;
219;PATRICK J. (PG);19;154:37:00;35;4;13;30.8%;9;29;31.0%;13;42;31.0%;0;0;0.0%;7;6;13;5;5;4;2;20;2;27;42
;MHP RIESEN Ludwigsburg;;;;;;;;;;;;;;;;;;;;;;;;;;
107;BARBER A. (PG);4;82:25:00;33;9;22;40.9%;4;9;44.4%;13;31;41.9%;3;4;75.0%;7;2;9;13;2;12;0;9;10;26;-7
;SYNTAINICS MBC;;;;;;;;;;;;;;;;;;;;;;;;;;
188;THOMPSON S. (C);9;83:48:00;33;16;22;72.7%;0;0;0.0%;16;22;72.7%;1;3;33.3%;19;12;31;1;3;8;0;13;7;52;25
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
211;ALBUS J. (SG);16;145:09:00;33;3;6;50.0%;8;16;50.0%;11;22;50.0%;3;3;100.0%;14;1;15;10;5;8;0;26;5;44;-5
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
224;KRSTANOVIC M. (PG);21;214:47:00;33;10;16;62.5%;3;11;27.3%;13;27;48.2%;4;8;50.0%;12;6;18;20;16;20;3;62;16;52;-6
;SYNTAINICS MBC;;;;;;;;;;;;;;;;;;;;;;;;;;
225;VöLLER M. (PF);20;144:54:00;31;13;26;50.0%;0;1;0.0%;13;27;48.2%;5;9;55.6%;17;16;33;10;4;7;2;21;9;55;-39
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
79;HAMILTON A. (PG);3;67:00:00;30;10;21;47.6%;2;3;66.7%;12;24;50.0%;4;9;44.4%;7;0;7;14;6;4;0;4;6;36;6
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
154;BROWN C. (C);5;72:47:00;30;11;27;40.7%;0;0;0.0%;11;27;40.7%;8;11;72.7%;8;10;18;2;0;3;7;9;9;35;-34
;JobStairs GIESSEN 46ers;;;;;;;;;;;;;;;;;;;;;;;;;;
210;BINAPFL K. (SG);14;93:36:00;29;10;20;50.0%;2;4;50.0%;12;24;50.0%;3;7;42.9%;12;9;21;6;3;9;1;11;6;35;-30
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
129;TURUDIC B. (PF);4;63:32:00;28;9;13;69.2%;0;2;0.0%;9;15;60.0%;10;12;83.3%;7;4;11;3;2;4;3;9;8;35;-12
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
204;RICH O. (PG);11;58:04:00;27;5;6;83.3%;2;3;66.7%;7;9;77.8%;11;16;68.8%;4;1;5;0;5;5;0;7;10;25;10
;Hamburg Towers;;;;;;;;;;;;;;;;;;;;;;;;;;
226;ZEEB G. (PG);18;143:23:00;27;7;11;63.6%;3;11;27.3%;10;22;45.5%;4;4;100.0%;3;3;6;14;10;10;0;25;9;35;-15
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
198;WARREN A. (SG);9;49:13:00;26;1;2;50.0%;6;15;40.0%;7;17;41.2%;6;8;75.0%;3;1;4;2;2;0;1;8;6;23;-1
;MHP RIESEN Ludwigsburg;;;;;;;;;;;;;;;;;;;;;;;;;;
208;NIKIC K. (C);12;97:51:00;26;9;20;45.0%;0;0;0.0%;9;20;45.0%;8;10;80.0%;10;6;16;2;2;7;2;5;10;28;6
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
218;MATTHEWS V. (PG);13;178:08:00;24;7;15;46.7%;2;10;20.0%;9;25;36.0%;4;5;80.0%;15;7;22;38;7;19;1;19;16;56;-78
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
203;RADEBAUGH J. (PG);9;73:52:00;23;5;9;55.6%;4;10;40.0%;9;19;47.4%;1;2;50.0%;5;3;8;6;5;5;1;3;2;27;26
;MHP RIESEN Ludwigsburg;;;;;;;;;;;;;;;;;;;;;;;;;;
126;HUDSON J. (SG);3;49:47:00;22;7;16;43.8%;1;2;50.0%;8;18;44.4%;5;6;83.3%;3;3;6;0;3;3;1;12;7;18;-5
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
164;WASHINGTON D. (SF);4;99:44:00;21;6;20;30.0%;1;6;16.7%;7;26;26.9%;6;10;60.0%;14;4;18;15;2;7;0;12;8;26;-2
;SYNTAINICS MBC;;;;;;;;;;;;;;;;;;;;;;;;;;
215;KOVACEVIC D. (C);10;47:45:00;20;5;10;50.0%;1;5;20.0%;6;15;40.0%;7;7;100.0%;4;1;5;2;0;0;1;9;5;19;-5
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
96;CLARK C. (SF);2;44:38:00;18;5;13;38.5%;1;4;25.0%;6;17;35.3%;5;6;83.3%;11;2;13;1;0;1;0;3;5;19;3
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
221;GEORGE J. (SG);10;75:09:00;17;3;3;100.0%;3;9;33.3%;6;12;50.0%;2;4;50.0%;12;1;13;2;2;1;0;11;4;25;8
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
169;BRETZEL N. (C);3;26:38:00;15;7;7;100.0%;0;0;0.0%;7;7;100.0%;1;1;100.0%;3;1;4;1;2;1;1;3;2;22;-6
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
209;RUDAN M. (SF);7;41:57:00;15;4;7;57.1%;1;3;33.3%;5;10;50.0%;4;8;50.0%;6;8;14;1;2;3;1;5;5;21;2
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
230;GRüTTNER BACOUL J. (SG);12;87:31:00;15;6;9;66.7%;1;6;16.7%;7;15;46.7%;0;0;0.0%;9;5;14;4;5;8;1;22;2;23;17
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
200;BöHMER J. (PG);5;39:22:00;14;4;4;100.0%;2;4;50.0%;6;8;75.0%;0;0;0.0%;0;0;0;2;3;3;0;6;2;14;-23
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
231;FIGGE L. (SG);11;100:21:00;13;3;11;27.3%;0;14;0.0%;3;25;12.0%;7;9;77.8%;3;2;5;5;5;3;1;22;11;2;-47
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
233;HOLLATZ J. (PG);13;58:44:00;13;4;8;50.0%;1;7;14.3%;5;15;33.3%;2;7;28.6%;4;3;7;11;9;10;1;18;7;16;4
;EWE Baskets Oldenburg;;;;;;;;;;;;;;;;;;;;;;;;;;
189;KRäMER D. (SG);3;39:08:00;11;1;4;25.0%;3;10;30.0%;4;14;28.6%;0;0;0.0%;1;2;3;0;1;1;0;10;2;4;6
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
229;DE OLIVEIRA G. (PF);7;39:20:00;10;2;5;40.0%;0;0;0.0%;2;5;40.0%;6;10;60.0%;7;3;10;1;1;2;0;9;6;13;13
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
227;BRUHNKE K. (SG);6;31:15:00;9;0;1;0.0%;3;5;60.0%;3;6;50.0%;0;0;0.0%;2;1;3;0;0;1;0;7;1;8;-31
;medi bayreuth;;;;;;;;;;;;;;;;;;;;;;;;;;
205;KRAUSE K. (SG);3;17:34;7;2;2;100.0%;1;2;50.0%;3;4;75.0%;0;0;0.0%;0;0;0;0;0;0;0;4;2;6;11
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
